codeinsee,dep_code,departement,region,nom_commune,nb_coproprietes,total_lots_habitation,total_lots_parking,ratio_parking,taille_moy_copro,population,surface_km2,densite_pop,latitude,longitude,nb_coproprietes_norm,total_lots_habitation_norm,densite_pop_norm,ratio_parking_norm,score_potentiel
01004,01,Ain,Auvergne Rhône-Alpes,Ambérieu-en-Bugey,190,2338.0,2171.0,0.929,12.3,15934.0,24.55,649.0427698574338,45.9575,5.3706,0.004081272474574775,0.0017966290053713651,0.02303455766670103,0.4645,7.6
01005,01,Ain,Auvergne Rhône-Alpes,AMBERIEUX-EN-DOMBES,13,171.0,179.0,1.047,13.2,1906.0,16.04,118.8279301745636,45.9992,4.9119,0.00017648745835999026,0.00012425140458109527,0.004190014617359702,0.5235,7.9
01007,01,Ain,Auvergne Rhône-Alpes,non connu,9,40.0,15.0,0.375,4.4,2841.0,33.71,84.27766241471373,46.0099,5.3627,8.824372917999514e-05,2.315243563622893e-05,0.002962051988934998,0.1875,2.9
01010,01,Ain,Auvergne Rhône-Alpes,Anglefort,8,38.0,30.0,0.789,4.8,1174.0,29.56,39.71583220568336,45.9086,5.7948,6.618279688499636e-05,2.1608939927147e-05,0.001378265069214347,0.3945,5.9
01014,01,Ain,Auvergne Rhône-Alpes,ARBENT,6,125.0,108.0,0.864,20.8,3555.0,23.67,150.19011406844106,46.2838,5.6879,2.2060932294998785e-05,8.87510032722109e-05,0.005304668490237012,0.432,6.6
01021,01,Ain,Auvergne Rhône-Alpes,Ars-sur-Formans,12,108.0,114.0,1.056,9.0,1528.0,5.52,276.81159420289856,45.9904,4.8195,0.0001544265260649915,7.56312897450145e-05,0.009804964888565434,0.528,8.1
01022,01,Ain,Auvergne Rhône-Alpes,Artemare,6,15.0,2.0,0.133,2.5,1139.0,3.32,343.07228915662654,45.8701,5.692,2.2060932294998785e-05,3.858739272704821e-06,0.012159958421529617,0.0665,1.2
01024,01,Ain,Auvergne Rhône-Alpes,ATTIGNAT,15,288.0,105.0,0.365,19.2,3409.0,18.94,179.98944033790917,46.2858,5.1823,0.00022060932294998788,0.0002145459035623881,0.006363776317287334,0.1825,2.9
01027,01,Ain,Auvergne Rhône-Alpes,BALAN,10,58.0,46.0,0.793,5.8,3077.0,17.99,171.03946637020567,45.8268,5.1076,0.00011030466147499393,3.7043897017966285e-05,0.006045682297463691,0.3965,6.1
01030,01,Ain,Auvergne Rhône-Alpes,BEAUREGARD,15,90.0,60.0,0.667,6.0,872.0,0.98,889.795918367347,46.0012,4.7567,0.00022060932294998788,6.173982836327714e-05,0.031591245884015184,0.3335,5.6
